,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2016,4.0,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
1,2017,4.1,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
2,2018,4.1,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
3,2019,4.1,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
4,2016,4.7,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
5,2017,4.7,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
6,2018,4.5,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2019,4.3,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2016,2.6,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
9,2017,2.5,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
10,2018,2.5,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
11,2019,2.5,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
12,2016,6.2,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
13,2017,6.0,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
14,2018,6.0,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
15,2019,6.1,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
16,2016,0.5,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
17,2017,0.0,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
18,2018,0.4,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
19,2019,0.4,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
20,2016,8.3,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
21,2017,8.9,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
22,2018,9.2,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
23,2019,8.4,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
24,2016,5.7,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
25,2017,3.0,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
26,2018,2.1,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
27,2019,3.3,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
28,2016,12.2,SH.STA.SUIC.P5,AUS,Australia,East Asia & Pacific,High income,Not classified
